customerid,churn
2884-GBPFB,0
3757-NJYBX,0
3413-DHLPB,0
7649-PHJVR,0
6114-TCFID,0
3787-TRIAL,1
2573-GYRUU,0
5156-UMKOW,0
1247-QBVSH,0
6734-GMPVK,0
9822-OAOVB,0
6161-ERDGD,0
1226-JZNKR,0
7318-EIVKO,0
3771-PZOBW,0
5136-KCKGI,0
8231-BSWXX,0
6486-LHTMA,0
4083-BFNYK,0
3722-WPXTK,1
7389-KBFIT,0
7176-WIONM,1
5141-ZUVBH,0
1089-HDMKP,1
7623-HKYRK,0
0310-SUCIN,0
5197-PYEPU,1
2929-ERCFZ,0
7548-SEPYI,0
8835-VSDSE,0
6619-RPLQZ,0
3275-RHRNE,1
3503-TYDAY,0
6901-GOGZG,0
1623-NLDOT,0
7021-XSNYE,0
9621-OUPYD,0
9898-KZQDZ,0
8982-NHAVY,0
4307-KWMXE,0
0141-YEAYS,1
2450-ZKEED,0
3694-DELSO,0
3893-JRNFS,0
9603-OAIHC,0
1133-KXCGE,0
5236-PERKL,0
0142-GVYSN,0
1049-FYSYG,0
7854-FOKSF,0
2519-FAKOD,1
8406-LNMHF,0
1821-BUCWY,0
8263-JQAIK,0
0023-UYUPN,0
8314-DPQHL,0
1465-WCZVT,0
9481-SFCQY,0
6360-SVNWV,0
0567-GGCAC,0
7089-IVVAZ,0
8884-MRNSU,0
2171-UDMFD,0
9050-IKDZA,0
2205-YMZZJ,0
9802-CAQUT,1
1254-IZEYF,0
0187-WZNAB,0
9492-TOKRI,0
1475-VWVDO,0
9221-OTIVJ,0
1357-MVDOZ,1
7602-MVRMB,0
3325-FUYCG,0
5908-QMGOE,0
1197-BVMVG,0
5406-KGRMX,0
8481-YYXWG,0
5968-HYJRZ,0
5198-EFNBM,0
7516-GMHUV,0
7140-ADSMJ,0
2230-XTUWL,0
7706-YLMQA,0
2585-KTFRE,0
7994-UYIVZ,0
2609-IAICY,0
1740-CSDJP,0
7717-BICXI,0
6559-RAKOZ,0
2636-OHFMN,0
4716-MRVEN,0
2143-LJULT,0
1323-OOEPC,0
3200-MNQTF,0
6164-HXUGH,0
5630-IXDXV,0
0320-DWVTU,0
9135-MGVPY,0
1212-GLHMD,0
7878-JGDKK,0
1088-AUUZZ,0
0397-GZBBC,0
6614-YWYSC,0
9588-OZDMQ,1
7641-EUYET,0
6476-EPYZR,1
9921-ZVRHG,0
1174-FGIFN,0
6620-HVDUJ,0
